No,Provinsi,Tahun,Kabupaten/Kota,Satuan,Fisik,Psikis,Seksual,Eksploitasi,TPPO,Penelantaran,Cluster,Cluster_Label
120,Jawa Tengah,2023,KABUPATEN JEPARA,Orang,14,9,5,0,0,3,0,Kerentanan Relatif Rendah
121,Jawa Tengah,2023,KABUPATEN DEMAK,Orang,25,20,7,0,0,11,0,Kerentanan Relatif Rendah
122,Jawa Tengah,2023,KABUPATEN SEMARANG,Orang,63,7,5,0,0,3,0,Kerentanan Relatif Rendah
123,Jawa Tengah,2023,KABUPATEN TEMANGGUNG,Orang,2,2,1,0,0,0,0,Kerentanan Relatif Rendah
124,Jawa Tengah,2023,KABUPATEN KENDAL,Orang,19,13,3,0,0,6,0,Kerentanan Relatif Rendah
125,Jawa Tengah,2023,KABUPATEN BATANG,Orang,3,3,12,0,0,2,0,Kerentanan Relatif Rendah
126,Jawa Tengah,2023,KABUPATEN PEKALONGAN,Orang,21,40,11,0,1,4,0,Kerentanan Relatif Rendah
127,Jawa Tengah,2023,KABUPATEN PEMALANG,Orang,23,6,18,0,0,2,0,Kerentanan Relatif Rendah
128,Jawa Tengah,2023,KABUPATEN TEGAL,Orang,8,15,7,0,0,0,0,Kerentanan Relatif Rendah
129,Jawa Tengah,2023,KABUPATEN BREBES,Orang,10,3,7,0,0,2,0,Kerentanan Relatif Rendah
130,Jawa Tengah,2023,KOTA MAGELANG,Orang,4,5,5,0,1,3,0,Kerentanan Relatif Rendah
131,Jawa Tengah,2023,KOTA SURAKARTA,Orang,9,17,14,0,0,9,0,Kerentanan Relatif Rendah
132,Jawa Tengah,2023,KOTA SALATIGA,Orang,13,7,4,0,0,1,0,Kerentanan Relatif Rendah
133,Jawa Tengah,2023,KOTA SEMARANG,Orang,79,33,26,1,1,17,1,Kerentanan Tinggi
134,Jawa Tengah,2023,KOTA PEKALONGAN,Orang,10,13,4,1,0,7,0,Kerentanan Relatif Rendah
135,Jawa Tengah,2023,KOTA TEGAL,Orang,8,7,5,0,0,1,0,Kerentanan Relatif Rendah
136,Jawa Barat,2023,KABUPATEN BOGOR,Orang,25,28,7,0,0,2,0,Kerentanan Relatif Rendah
137,Jawa Barat,2023,KABUPATEN SUKABUMI,Orang,22,10,21,1,26,1,3,Prioritas TPPO
138,Jawa Barat,2023,KABUPATEN CIANJUR,Orang,17,34,14,1,5,2,0,Kerentanan Relatif Rendah
139,Jawa Barat,2023,KABUPATEN BANDUNG,Orang,15,17,10,0,1,4,0,Kerentanan Relatif Rendah
140,Jawa Barat,2023,KABUPATEN GARUT,Orang,11,13,11,0,0,1,0,Kerentanan Relatif Rendah
141,Jawa Barat,2023,KABUPATEN TASIKMALAYA,Orang,14,2,13,0,1,1,0,Kerentanan Relatif Rendah
142,Jawa Barat,2023,KABUPATEN CIAMIS,Orang,0,1,2,1,0,0,0,Kerentanan Relatif Rendah
143,Jawa Barat,2023,KABUPATEN KUNINGAN,Orang,14,8,5,0,0,1,0,Kerentanan Relatif Rendah
144,Jawa Barat,2023,KABUPATEN CIREBON,Orang,10,10,9,1,1,1,0,Kerentanan Relatif Rendah
145,Jawa Barat,2023,KABUPATEN MAJALENGKA,Orang,1,1,2,0,0,0,0,Kerentanan Relatif Rendah
146,Jawa Barat,2023,KABUPATEN SUMEDANG,Orang,20,1,1,0,1,0,0,Kerentanan Relatif Rendah
147,Jawa Barat,2023,KABUPATEN INDRAMAYU,Orang,5,1,3,3,0,0,0,Kerentanan Relatif Rendah
148,Jawa Barat,2023,KABUPATEN SUBANG,Orang,18,3,7,0,2,0,0,Kerentanan Relatif Rendah
149,Jawa Barat,2023,KABUPATEN PURWAKARTA,Orang,4,10,3,0,0,0,0,Kerentanan Relatif Rendah
150,Jawa Barat,2023,KABUPATEN KARAWANG,Orang,30,17,12,1,0,6,0,Kerentanan Relatif Rendah
151,Jawa Barat,2023,KABUPATEN BEKASI,Orang,73,67,28,7,3,4,1,Kerentanan Tinggi
152,Jawa Barat,2023,KABUPATEN BANDUNG BARAT,Orang,20,15,9,0,0,3,0,Kerentanan Relatif Rendah
153,Jawa Barat,2023,KABUPATEN PANGANDARAN,Orang,2,0,0,0,0,7,0,Kerentanan Relatif Rendah
154,Jawa Barat,2023,KOTA BOGOR,Orang,2,23,4,0,0,0,0,Kerentanan Relatif Rendah
155,Jawa Barat,2023,KOTA SUKABUMI,Orang,8,10,1,2,1,0,0,Kerentanan Relatif Rendah
156,Jawa Barat,2023,KOTA BANDUNG,Orang,96,180,50,7,1,71,2,Kerentanan Sangat Tinggi
157,Jawa Barat,2023,KOTA CIREBON,Orang,2,1,0,0,0,0,0,Kerentanan Relatif Rendah
158,Jawa Barat,2023,KOTA BEKASI,Orang,6,6,1,1,0,2,0,Kerentanan Relatif Rendah
159,Jawa Barat,2023,KOTA DEPOK,Orang,65,54,11,1,0,20,1,Kerentanan Tinggi
160,Jawa Barat,2023,KOTA CIMAHI,Orang,7,7,2,1,0,2,0,Kerentanan Relatif Rendah
161,Jawa Barat,2023,KOTA TASIKMALAYA,Orang,1,4,2,0,0,0,0,Kerentanan Relatif Rendah
162,Jawa Barat,2023,KOTA BANJAR,Orang,1,2,0,0,0,0,0,Kerentanan Relatif Rendah
163,Jawa Timur,2023,KABUPATEN PACITAN,Orang,0,0,0,0,0,0,0,Kerentanan Relatif Rendah
164,Jawa Timur,2023,KABUPATEN PONOROGO,Orang,2,3,0,0,0,0,0,Kerentanan Relatif Rendah
165,Jawa Timur,2023,KABUPATEN TRENGGALEK,Orang,5,3,1,0,0,4,0,Kerentanan Relatif Rendah
166,Jawa Timur,2023,KABUPATEN TULUNGAGUNG,Orang,3,6,3,1,1,1,0,Kerentanan Relatif Rendah
167,Jawa Timur,2023,KABUPATEN BLITAR,Orang,10,13,4,1,0,3,0,Kerentanan Relatif Rendah
168,Jawa Timur,2023,KABUPATEN KEDIRI,Orang,16,1,3,0,0,1,0,Kerentanan Relatif Rendah
169,Jawa Timur,2023,KABUPATEN MALANG,Orang,20,34,14,1,5,10,1,Kerentanan Tinggi
170,Jawa Timur,2023,KABUPATEN LUMAJANG,Orang,3,5,2,0,0,0,0,Kerentanan Relatif Rendah
171,Jawa Timur,2023,KABUPATEN JEMBER,Orang,15,65,27,0,0,3,1,Kerentanan Tinggi
172,Jawa Timur,2023,KABUPATEN BANYUWANGI,Orang,78,11,8,4,0,3,1,Kerentanan Tinggi
173,Jawa Timur,2023,KABUPATEN BONDOWOSO,Orang,7,2,1,0,0,5,0,Kerentanan Relatif Rendah
174,Jawa Timur,2023,KABUPATEN SITUBONDO,Orang,27,7,6,1,4,7,0,Kerentanan Relatif Rendah
175,Jawa Timur,2023,KABUPATEN PROBOLINGGO,Orang,5,4,0,0,0,0,0,Kerentanan Relatif Rendah
176,Jawa Timur,2023,KABUPATEN PASURUAN,Orang,13,1,4,3,4,2,0,Kerentanan Relatif Rendah
177,Jawa Timur,2023,KABUPATEN SIDOARJO,Orang,41,65,11,2,0,27,1,Kerentanan Tinggi
178,Jawa Timur,2023,KABUPATEN MOJOKERTO,Orang,23,6,1,2,0,4,0,Kerentanan Relatif Rendah
179,Jawa Timur,2023,KABUPATEN JOMBANG,Orang,7,2,1,0,0,5,0,Kerentanan Relatif Rendah
180,Jawa Timur,2023,KABUPATEN NGANJUK,Orang,12,25,4,1,0,9,0,Kerentanan Relatif Rendah
181,Jawa Timur,2023,KABUPATEN MADIUN,Orang,2,0,4,0,0,0,0,Kerentanan Relatif Rendah
182,Jawa Timur,2023,KABUPATEN MAGETAN,Orang,2,3,1,0,0,0,0,Kerentanan Relatif Rendah
183,Jawa Timur,2023,KABUPATEN NGAWI,Orang,6,1,2,0,0,2,0,Kerentanan Relatif Rendah
184,Jawa Timur,2023,KABUPATEN BOJONEGORO,Orang,3,3,2,0,0,4,0,Kerentanan Relatif Rendah
185,Jawa Timur,2023,KABUPATEN TUBAN,Orang,11,0,1,0,0,0,0,Kerentanan Relatif Rendah
186,Jawa Timur,2023,KABUPATEN LAMONGAN,Orang,4,3,1,0,0,0,0,Kerentanan Relatif Rendah
187,Jawa Timur,2023,KABUPATEN GRESIK,Orang,49,32,3,0,0,7,1,Kerentanan Tinggi
188,Jawa Timur,2023,KABUPATEN BANGKALAN,Orang,4,3,7,0,0,0,0,Kerentanan Relatif Rendah
189,Jawa Timur,2023,KABUPATEN SAMPANG,Orang,6,2,4,0,0,0,0,Kerentanan Relatif Rendah
190,Jawa Timur,2023,KABUPATEN PAMEKASAN,Orang,23,2,6,1,0,9,0,Kerentanan Relatif Rendah
191,Jawa Timur,2023,KABUPATEN SUMENEP,Orang,3,4,2,0,0,2,0,Kerentanan Relatif Rendah
192,Jawa Timur,2023,KOTA KEDIRI,Orang,5,2,0,0,0,1,0,Kerentanan Relatif Rendah
193,Jawa Timur,2023,KOTA BLITAR,Orang,0,0,0,0,0,1,0,Kerentanan Relatif Rendah
194,Jawa Timur,2023,KOTA MALANG,Orang,12,11,4,1,0,3,0,Kerentanan Relatif Rendah
195,Jawa Timur,2023,KOTA PROBOLINGGO,Orang,14,7,3,0,1,3,0,Kerentanan Relatif Rendah
196,Jawa Timur,2023,KOTA PASURUAN,Orang,3,4,2,0,0,0,0,Kerentanan Relatif Rendah
197,Jawa Timur,2023,KOTA MOJOKERTO,Orang,6,3,0,0,0,0,0,Kerentanan Relatif Rendah
198,Jawa Timur,2023,KOTA MADIUN,Orang,2,2,1,0,0,2,0,Kerentanan Relatif Rendah
199,Jawa Timur,2023,KOTA SURABAYA,Orang,63,29,14,0,0,16,1,Kerentanan Tinggi
